#  LAMBDA(A)    ALB(GAL)     EXT(GAL)     ALB(LMC)     EXT(LMC)     ALB(SMC)     EXT(SMC)
  2.11000E+03  4.66833E-01  2.35728E+00  6.52604E-01  2.40709E+00  8.11286E-01  2.45095E+00
  2.11250E+03  4.66809E-01  2.35919E+00  6.52766E-01  2.40497E+00  8.12120E-01  2.44520E+00
  2.11500E+03  4.66784E-01  2.36109E+00  6.52928E-01  2.40286E+00  8.12954E-01  2.43946E+00
  2.11750E+03  4.66760E-01  2.36300E+00  6.53090E-01  2.40075E+00  8.13788E-01  2.43375E+00
  2.12000E+03  4.66735E-01  2.36491E+00  6.53252E-01  2.39864E+00  8.14622E-01  2.42805E+00
  2.12250E+03  4.66711E-01  2.36681E+00  6.53413E-01  2.39654E+00  8.15456E-01  2.42238E+00
  2.12500E+03  4.66686E-01  2.36872E+00  6.53575E-01  2.39444E+00  8.16289E-01  2.41672E+00
  2.12750E+03  4.66662E-01  2.37062E+00  6.53736E-01  2.39235E+00  8.17123E-01  2.41109E+00
  2.13000E+03  4.66638E-01  2.37252E+00  6.53897E-01  2.39026E+00  8.17956E-01  2.40547E+00
  2.13250E+03  4.66613E-01  2.37443E+00  6.54058E-01  2.38818E+00  8.18789E-01  2.39988E+00
  2.13500E+03  4.66589E-01  2.37633E+00  6.54218E-01  2.38610E+00  8.19622E-01  2.39430E+00
  2.13750E+03  4.66565E-01  2.37823E+00  6.54379E-01  2.38402E+00  8.20455E-01  2.38874E+00
  2.14000E+03  4.66541E-01  2.38013E+00  6.54540E-01  2.38195E+00  8.21287E-01  2.38321E+00
  2.14250E+03  4.66516E-01  2.38203E+00  6.54700E-01  2.37988E+00  8.22120E-01  2.37769E+00
  2.14500E+03  4.66492E-01  2.38393E+00  6.54860E-01  2.37782E+00  8.22953E-01  2.37219E+00
  2.14750E+03  4.66468E-01  2.38583E+00  6.55020E-01  2.37576E+00  8.23785E-01  2.36671E+00
  2.15000E+03  4.66444E-01  2.38773E+00  6.55180E-01  2.37370E+00  8.24617E-01  2.36125E+00
  2.15250E+03  4.66693E-01  2.38712E+00  6.55439E-01  2.37005E+00  8.25306E-01  2.35485E+00
  2.15500E+03  4.66941E-01  2.38652E+00  6.55698E-01  2.36640E+00  8.25995E-01  2.34848E+00
  2.15750E+03  4.67190E-01  2.38592E+00  6.55957E-01  2.36276E+00  8.26683E-01  2.34213E+00
  2.16000E+03  4.67438E-01  2.38532E+00  6.56216E-01  2.35913E+00  8.27371E-01  2.33580E+00
  2.16250E+03  4.67686E-01  2.38472E+00  6.56475E-01  2.35551E+00  8.28059E-01  2.32950E+00
  2.16500E+03  4.67934E-01  2.38412E+00  6.56733E-01  2.35190E+00  8.28747E-01  2.32322E+00
  2.16750E+03  4.68182E-01  2.38353E+00  6.56991E-01  2.34830E+00  8.29434E-01  2.31697E+00
  2.17000E+03  4.68430E-01  2.38293E+00  6.57249E-01  2.34471E+00  8.30121E-01  2.31074E+00
  2.17250E+03  4.68678E-01  2.38233E+00  6.57507E-01  2.34113E+00  8.30808E-01  2.30453E+00
  2.17500E+03  4.68925E-01  2.38174E+00  6.57764E-01  2.33756E+00  8.31495E-01  2.29835E+00
  2.17750E+03  4.69367E-01  2.37869E+00  6.58170E-01  2.33207E+00  8.32226E-01  2.29067E+00
  2.18000E+03  4.69809E-01  2.37564E+00  6.58576E-01  2.32659E+00  8.32957E-01  2.28303E+00
  2.18250E+03  4.70251E-01  2.37260E+00  6.58981E-01  2.32114E+00  8.33688E-01  2.27542E+00
  2.18500E+03  4.70693E-01  2.36957E+00  6.59386E-01  2.31570E+00  8.34419E-01  2.26784E+00
  2.18750E+03  4.71135E-01  2.36654E+00  6.59791E-01  2.31029E+00  8.35149E-01  2.26029E+00
  2.19000E+03  4.71577E-01  2.36352E+00  6.60196E-01  2.30489E+00  8.35879E-01  2.25278E+00
  2.19250E+03  4.72019E-01  2.36051E+00  6.60601E-01  2.29951E+00  8.36609E-01  2.24531E+00
  2.19500E+03  4.72460E-01  2.35751E+00  6.61005E-01  2.29415E+00  8.37339E-01  2.23786E+00
  2.19750E+03  4.72902E-01  2.35452E+00  6.61409E-01  2.28880E+00  8.38068E-01  2.23045E+00
  2.20000E+03  4.73343E-01  2.35153E+00  6.61813E-01  2.28348E+00  8.38798E-01  2.22308E+00
  2.20250E+03  4.73917E-01  2.34626E+00  6.62187E-01  2.27713E+00  8.39158E-01  2.21575E+00
  2.20500E+03  4.74492E-01  2.34101E+00  6.62560E-01  2.27081E+00  8.39518E-01  2.20845E+00
  2.20750E+03  4.75066E-01  2.33578E+00  6.62933E-01  2.26451E+00  8.39878E-01  2.20119E+00
  2.21000E+03  4.75641E-01  2.33056E+00  6.63306E-01  2.25824E+00  8.40238E-01  2.19396E+00
  2.21250E+03  4.76215E-01  2.32536E+00  6.63679E-01  2.25199E+00  8.40597E-01  2.18676E+00
  2.21500E+03  4.76790E-01  2.32018E+00  6.64051E-01  2.24577E+00  8.40956E-01  2.17960E+00
  2.21750E+03  4.77364E-01  2.31502E+00  6.64423E-01  2.23957E+00  8.41315E-01  2.17246E+00
  2.22000E+03  4.77939E-01  2.30987E+00  6.64795E-01  2.23339E+00  8.41673E-01  2.16536E+00
  2.22250E+03  4.78514E-01  2.30475E+00  6.65167E-01  2.22724E+00  8.42031E-01  2.15828E+00
  2.22500E+03  4.79088E-01  2.29963E+00  6.65539E-01  2.22111E+00  8.42389E-01  2.15124E+00
  2.22750E+03  4.79663E-01  2.29454E+00  6.65910E-01  2.21501E+00  8.42747E-01  2.14423E+00
  2.23000E+03  4.80238E-01  2.28946E+00  6.66281E-01  2.20893E+00  8.43105E-01  2.13725E+00
  2.23250E+03  4.80813E-01  2.28440E+00  6.66652E-01  2.20287E+00  8.43462E-01  2.13030E+00
  2.23500E+03  4.81388E-01  2.27936E+00  6.67023E-01  2.19684E+00  8.43819E-01  2.12338E+00
  2.23750E+03  4.81963E-01  2.27433E+00  6.67394E-01  2.19083E+00  8.44176E-01  2.11649E+00
  2.24000E+03  4.82538E-01  2.26932E+00  6.67764E-01  2.18484E+00  8.44532E-01  2.10963E+00
  2.24250E+03  4.83113E-01  2.26433E+00  6.68134E-01  2.17888E+00  8.44888E-01  2.10280E+00
  2.24500E+03  4.83688E-01  2.25935E+00  6.68504E-01  2.17293E+00  8.45244E-01  2.09600E+00
  2.24750E+03  4.84263E-01  2.25439E+00  6.68874E-01  2.16702E+00  8.45600E-01  2.08923E+00
  2.25000E+03  4.84838E-01  2.24945E+00  6.69244E-01  2.16112E+00  8.45956E-01  2.08249E+00
